id,year,wardno,noofoccupidhouses,noofhouseholds,totalpop,totalmale,totalfemale,totalcaste,malecaste,femalecaste,totaltribes,maletribes,femaletribes,totalliterates,maleliterates,femaleliterates,totalilliterates,maleilliterates,femaleilliterates
250,2011,90,1852,1862,9393,4856,4537,1201,612,589,70,32,38,7644,4165,3479,1749,691,1058
251,2011,91,2674,2684,12149,6117,6032,1135,573,562,58,33,25,10185,5351,4834,1964,766,1198
252,2011,92,3035,3045,12449,6295,6154,190,103,87,39,19,20,11068,5757,5311,1381,538,843
253,2011,93,3004,3014,12879,6450,6429,985,497,488,47,23,24,10873,5650,5223,2006,800,1206
254,2011,94,3074,3084,13562,6902,6660,1116,568,548,78,37,41,11029,5880,5149,2533,1022,1511
255,2011,95,3554,3564,14675,6959,7716,110,49,61,22,15,7,12885,6251,6634,1790,708,1082
256,2011,96,2595,2605,13414,7003,6411,1422,695,727,203,102,101,10418,5797,4621,2996,1206,1790
257,2011,97,2657,2667,13889,7600,6289,503,262,241,112,59,53,11163,6574,4589,2726,1026,1700
258,2011,98,1854,1864,9837,5002,4835,2792,1353,1439,32,15,17,6055,3503,2552,3782,1499,2283
259,2011,99,3687,3697,16920,8762,8158,1073,555,518,197,95,102,12119,6879,5240,4801,1883,2918
260,2011,100,2367,2377,11375,6148,5227,706,376,330,163,94,69,9863,5528,4335,1512,620,892
261,2011,101,2792,2802,14243,7393,6850,2717,1341,1376,106,57,49,9647,5559,4088,4596,1834,2762
262,2011,102,2684,2694,14278,7626,6652,4546,2300,2246,71,38,33,8924,5217,3707,5354,2409,2945
263,2011,103,2386,2396,12586,6337,6249,995,494,501,114,64,50,9624,5143,4481,2962,1194,1768
264,2011,104,2352,2362,10809,5370,5439,309,156,153,57,24,33,9323,4771,4552,1486,599,887
265,2011,105,2192,2202,9845,4996,4849,5,3,2,45,21,24,8468,4464,4004,1377,532,845
266,2011,106,2112,2122,10623,5382,5241,338,166,172,124,63,61,8633,4587,4046,1990,795,1195
267,2011,107,1917,1927,11032,5652,5380,175,87,88,17,9,8,8758,4762,3996,2274,890,1384
268,2011,108,1920,1930,10159,5205,4954,962,492,470,50,28,22,8106,4460,3646,2053,745,1308
269,2011,109,2156,2166,11689,5918,5771,3953,1932,2021,25,13,12,8085,4545,3540,3604,1373,2231
270,2011,110,2301,2311,13334,6760,6574,2287,1121,1166,64,29,35,10279,5594,4685,3055,1166,1889
271,2011,111,2272,2282,12700,6358,6342,628,339,289,57,32,25,10296,5359,4937,2404,999,1405
272,2011,112,2289,2299,11631,5838,5793,208,98,110,131,65,66,9700,5106,4594,1931,732,1199
273,2011,113,2051,2061,10261,5207,5054,62,29,33,27,11,16,8665,4560,4105,1596,647,949
274,2011,114,1974,1984,10567,5448,5119,287,140,147,50,32,18,8785,4752,4033,1782,696,1086
275,2011,115,3098,3108,13516,6834,6682,192,96,96,16,8,8,11947,6212,5735,1569,622,947
276,2011,116,2530,2540,10536,5219,5317,83,17,66,14,2,12,9543,4784,4759,993,435,558
277,2011,117,2707,2717,10957,5462,5495,67,40,27,10,6,4,9945,5020,4925,1012,442,570
278,2011,118,2292,2302,9961,4982,4979,462,229,233,63,28,35,8644,4413,4231,1317,569,748
279,2011,119,2487,2497,11249,5785,5464,105,57,48,70,38,32,9627,5119,4508,1622,666,956
280,2011,120,3304,3314,13178,6719,6459,95,46,49,17,8,9,11772,6114,5658,1406,605,801
281,2011,121,2353,2363,10460,5328,5132,62,31,31,82,40,42,9279,4854,4425,1181,474,707
282,2011,122,1808,1818,8350,3983,4367,129,44,85,29,11,18,6959,3531,3428,1391,452,939
283,2011,123,1787,1797,9799,4269,5530,890,187,703,8,4,4,6954,3630,3324,2845,639,2206
284,2011,124,2311,2321,9534,4932,4602,58,27,31,0,0,0,8316,4407,3909,1218,525,693
285,2011,125,2948,2958,12962,6775,6187,1489,762,727,261,137,124,10507,5802,4705,2455,973,1482
286,2011,126,5602,5612,25364,13312,12052,3321,1696,1625,945,509,436,19679,10973,8706,5685,2339,3346
287,2011,127,3380,3390,15428,8220,7208,1923,1018,905,293,157,136,10947,6334,4613,4481,1886,2595
288,2011,128,8825,8835,39348,21087,18261,4812,2547,2265,376,218,158,27084,15809,11275,12264,5278,6986
289,2011,129,11939,11949,52803,27829,24974,3982,2065,1917,450,230,220,41038,22730,18308,11765,5099,6666
290,2011,130,3484,3494,14934,8025,6909,1493,771,722,192,106,86,10804,6243,4561,4130,1782,2348
291,2011,131,8200,8210,36875,19462,17413,2836,1481,1355,312,163,149,26715,15148,11567,10160,4314,5846
292,2011,132,5898,5908,25807,13771,12036,1474,773,701,156,84,72,21322,11749,9573,4485,2022,2463
293,2011,133,5232,5242,24509,12901,11608,3945,2064,1881,318,167,151,17017,9841,7176,7492,3060,4432
294,2011,134,1776,1786,8140,4348,3792,1740,861,879,53,30,23,5459,3246,2213,2681,1102,1579
295,2011,135,698,708,2744,1488,1256,347,184,163,76,38,38,1811,1082,729,933,406,527
296,2011,136,558,568,2478,1328,1150,357,191,166,53,28,25,1522,905,617,956,423,533
297,2011,137,4888,4898,23746,12591,11155,1425,735,690,91,49,42,16490,9276,7214,7256,3315,3941
298,2011,138,3693,3703,16646,8923,7723,2284,1192,1092,142,67,75,11223,6506,4717,5423,2417,3006
299,2011,139,6159,6169,27440,14662,12778,1669,876,793,216,118,98,20956,11780,9176,6484,2882,3602
300,2011,140,19452,19462,84496,44749,39747,4735,2434,2301,532,293,239,69338,37886,31452,15158,6863,8295
301,2011,141,4127,4137,17989,9696,8293,1234,639,595,247,132,115,13199,7630,5569,4790,2066,2724
302,2011,142,542,552,2701,1414,1287,211,111,100,66,30,36,1656,970,686,1045,444,601
303,2011,143,870,880,3859,2053,1806,285,152,133,45,27,18,2507,1485,1022,1352,568,784
304,2011,144,486,496,2116,1109,1007,159,79,80,18,9,9,1562,867,695,554,242,312
305,2011,145,4314,4324,18611,9858,8753,1443,739,704,171,85,86,13501,7694,5807,5110,2164,2946
306,2011,146,1206,1216,5839,3179,2660,627,347,280,52,34,18,3579,2192,1387,2260,987,1273
307,2011,147,970,980,4334,2269,2065,734,376,358,106,57,49,3311,1848,1463,1023,421,602
308,2011,148,1539,1549,7056,3651,3405,696,369,327,86,43,43,4963,2828,2135,2093,823,1270
309,2011,149,11195,11205,44946,24032,20914,2362,1231,1131,282,148,134,34971,19468,15503,9975,4564,5411
310,2011,150,6095,6105,24829,12888,11941,1107,585,522,96,56,40,19962,10697,9265,4867,2191,2676
311,2011,151,10158,10168,43700,23531,20169,4549,2422,2127,850,443,407,30984,17829,13155,12716,5702,7014
312,2011,152,1422,1432,6661,3636,3025,832,430,402,196,111,85,4918,2849,2069,1743,787,956
313,2011,153,1419,1429,6476,3366,3110,1106,562,544,101,56,45,4807,2735,2072,1669,631,1038
314,2011,154,627,637,2976,1523,1453,418,218,200,280,137,143,2260,1237,1023,716,286,430
315,2011,155,1003,1013,4675,2400,2275,466,237,229,122,64,58,3387,1884,1503,1288,516,772
316,2011,156,5385,5395,21037,11032,10005,565,293,272,74,35,39,17218,9302,7916,3819,1730,2089
317,2011,157,1270,1280,5624,3052,2572,774,401,373,95,54,41,3527,2172,1355,2097,880,1217
318,2011,158,1495,1505,6025,3218,2807,453,246,207,76,49,27,4103,2365,1738,1922,853,1069
319,2011,159,589,599,2929,1508,1421,116,59,57,25,10,15,1973,1135,838,956,373,583
320,2011,160,693,703,3629,1958,1671,333,180,153,311,178,133,2520,1482,1038,1109,476,633
321,2011,161,869,879,4069,2193,1876,500,256,244,93,54,39,2715,1622,1093,1354,571,783
322,2011,162,3786,3796,16554,9103,7451,994,506,488,57,27,30,11989,7072,4917,4565,2031,2534
323,2021,1,10434,10452,44060,23099,20961,8216,4202,4014,1551,822,729,34931,18862,16069,9129,4237,4892
324,2021,2,5915,5933,25430,13125,12305,3887,1985,1902,250,135,115,19673,10456,9217,5757,2669,3088
325,2021,3,5469,5487,22592,11528,11064,4846,2444,2402,247,127,120,17822,9347,8475,4770,2181,2589
326,2021,4,5888,5906,24678,12830,11848,3478,1744,1734,514,269,245,20472,10849,9623,4206,1981,2225
327,2021,5,4224,4242,18490,9378,9112,5611,2801,2810,247,123,124,14333,7512,6821,4157,1866,2291
328,2021,6,5223,5241,26134,15086,11048,5419,2885,2534,563,376,187,20464,12316,8148,5670,2770,2900
329,2021,7,8746,8764,33810,17610,16200,5560,2795,2765,276,148,128,26926,14337,12589,6884,3273,3611
330,2021,8,9580,9598,37947,20290,17657,3732,1907,1825,271,146,125,29477,16249,13228,8470,4041,4429
331,2021,9,5935,5953,24332,13030,11302,3269,1694,1575,364,201,163,18557,10238,8319,5775,2792,2983
332,2021,10,5832,5850,24433,12814,11619,2482,1249,1233,128,69,59,19695,10563,9132,4738,2251,2487
333,2021,11,7813,7831,32731,17179,15552,4179,2132,2047,423,216,207,25917,13948,11969,6814,3231,3583
334,2021,12,6232,6250,25865,13587,12278,2074,1047,1027,270,145,125,21213,11296,9917,4652,2291,2361
335,2021,13,6475,6493,25272,13101,12171,1591,804,787,100,56,44,21213,11044,10169,4059,2057,2002
336,2021,14,4343,4361,18483,9390,9093,4025,2006,2019,233,134,99,15304,7991,7313,3179,1399,1780
337,2021,15,3926,3944,16691,8449,8242,4036,1987,2049,197,99,98,14180,7366,6814,2511,1083,1428
338,2021,16,3364,3382,15724,8044,7680,4036,1973,2063,373,183,190,12408,6534,5874,3316,1510,1806
339,2021,17,3312,3330,15990,7986,8004,3652,1760,1892,138,68,70,12573,6507,6066,3417,1479,1938
340,2021,18,3165,3183,14960,7506,7454,4466,2218,2248,68,39,29,11144,5849,5295,3816,1657,2159
341,2021,19,3589,3607,17702,8969,8733,3618,1808,1810,113,60,53,12933,6908,6025,4769,2061,2708
342,2021,20,3762,3780,18332,9333,8999,6187,3071,3116,144,77,67,13195,7162,6033,5137,2171,2966
343,2021,21,3860,3878,17865,9299,8566,3225,1607,1618,304,158,146,13723,7549,6174,4142,1750,2392
344,2021,22,3819,3837,18071,9129,8942,5011,2532,2479,225,111,114,13348,7132,6216,4723,1997,2726
345,2021,23,3613,3631,15744,7666,8078,1698,839,859,608,284,324,12976,6490,6486,2768,1176,1592
346,2021,24,4265,4283,17876,8926,8950,3466,1667,1799,188,88,100,14917,7572,7345,2959,1354,1605
347,2021,25,3545,3563,15834,7905,7929,3748,1828,1920,226,110,116,12705,6639,6066,3129,1266,1863
348,2021,26,3850,3868,16240,8141,8099,4529,2237,2292,282,138,144,13454,6968,6486,2786,1173,1613
349,2021,27,4537,4555,17766,8934,8832,2016,1029,987,359,187,172,14843,7607,7236,2923,1327,1596
350,2021,28,8124,8142,31972,16781,15191,2791,1415,1376,294,157,137,24888,13529,11359,7084,3252,3832
351,2021,29,6102,6120,23994,12422,11572,2198,1137,1061,984,498,486,18960,10120,8840,5034,2302,2732
352,2021,30,5999,6017,24574,12618,11956,3542,1802,1740,426,222,204,17970,9585,8385,6604,3033,3571
353,2021,31,4140,4158,15205,7573,7632,967,501,466,57,30,27,13462,6748,6714,1743,825,918
354,2021,32,4308,4326,17663,8972,8691,4653,2321,2332,533,283,250,14724,7726,6998,2939,1246,1693
355,2021,33,4464,4482,20138,10242,9896,2268,1130,1138,277,135,142,15712,8443,7269,4426,1799,2627
356,2021,34,3523,3541,14892,7386,7506,1650,838,812,117,66,51,13334,6641,6693,1558,745,813
357,2021,35,3459,3477,14669,7534,7135,938,530,408,237,141,96,13002,6748,6254,1667,786,881
358,2021,36,2556,2574,12603,6356,6247,2251,1124,1127,151,78,73,9729,5163,4566,2874,1193,1681
359,2021,37,3377,3395,15380,7994,7386,5398,2718,2680,350,188,162,11391,6276,5115,3989,1718,2271
360,2021,38,3201,3219,14096,7068,7028,4740,2362,2378,223,110,113,10696,5620,5076,3400,1448,1952
361,2021,39,3343,3361,14447,7231,7216,2883,1420,1463,251,141,110,11595,5954,5641,2852,1277,1575
362,2021,40,3593,3611,14685,7446,7239,2894,1468,1426,210,134,76,11341,5913,5428,3344,1533,1811
363,2021,41,4465,4483,19153,9924,9229,2316,1162,1154,228,120,108,14664,7955,6709,4489,1969,2520
364,2021,42,10999,11017,40932,21668,19264,3539,1833,1706,454,237,217,32053,17207,14846,8879,4461,4418
365,2021,43,6769,6787,29733,15435,14298,6898,3503,3395,398,204,194,20265,11355,8910,9468,4080,5388
366,2021,44,6419,6437,27453,14289,13164,5893,2933,2960,289,158,131,21450,11616,9834,6003,2673,3330
367,2021,45,7089,7107,30023,15526,14497,5752,2866,2886,246,130,116,23933,12922,11011,6090,2604,3486
368,2021,46,3176,3194,14736,7418,7318,1888,959,929,186,111,75,13011,6634,6377,1725,784,941
369,2021,47,2987,3005,14192,7077,7115,2290,1137,1153,247,120,127,11580,5994,5586,2612,1083,1529
370,2021,48,3732,3750,16440,8222,8218,1821,886,935,146,66,80,13880,7106,6774,2560,1116,1444
371,2021,49,3815,3833,18701,9786,8915,4612,2312,2300,148,72,76,13792,7637,6155,4909,2149,2760
372,2021,50,3830,3848,15943,7943,8000,179,92,87,127,60,67,13838,6956,6882,2105,987,1118
373,2021,51,3762,3780,13824,6772,7052,118,54,64,31,13,18,12475,6096,6379,1349,676,673
374,2021,52,3214,3232,12273,6057,6216,122,65,57,305,160,145,10833,5366,5467,1440,691,749
375,2021,53,3513,3531,16120,8238,7882,3003,1470,1533,219,105,114,13714,7267,6447,2406,971,1435
376,2021,54,3663,3681,16690,8393,8297,1809,933,876,117,65,52,11608,6435,5173,5082,1958,3124
377,2021,55,3066,3084,14614,7276,7338,1750,848,902,143,75,68,11197,5943,5254,3417,1333,2084
378,2021,56,3892,3910,15228,7453,7775,658,328,330,83,44,39,13565,6701,6864,1663,752,911
379,2021,57,4280,4298,18064,9316,8748,1845,939,906,169,90,79,13458,7358,6100,4606,1958,2648
380,2021,58,5264,5282,20244,10557,9687,951,498,453,81,45,36,17496,9260,8236,2748,1297,1451
381,2021,59,7167,7185,29109,15287,13822,2471,1266,1205,280,144,136,21185,11775,9410,7924,3512,4412
382,2021,60,5149,5167,19342,9796,9546,1820,917,903,97,55,42,15319,7864,7455,4023,1932,2091
383,2021,61,10186,10204,37509,19755,17754,1696,886,810,317,182,135,31070,16513,14557,6439,3242,3197
384,2021,62,8807,8825,33045,17007,16038,1765,925,840,184,103,81,27804,14427,13377,5241,2580,2661
385,2021,63,4546,4564,18796,9753,9043,1754,912,842,147,80,67,15411,8230,7181,3385,1523,1862
386,2021,64,5259,5277,20022,10279,9743,970,510,460,312,155,157,17162,8891,8271,2860,1388,1472
387,2021,65,3660,3678,13200,6585,6615,837,436,401,25,16,9,11776,5866,5910,1424,719,705
388,2021,66,4524,4542,17087,8459,8628,647,319,328,96,55,41,14713,7278,7435,2374,1181,1193
389,2021,67,3235,3253,12909,6018,6891,489,217,272,65,28,37,11370,5345,6025,1539,673,866
390,2021,68,3080,3098,12659,6232,6427,1381,670,711,86,40,46,10675,5353,5322,1984,879,1105
391,2021,69,3288,3306,12438,6065,6373,90,43,47,18,9,9,11301,5495,5806,1137,570,567
392,2021,70,2724,2742,10752,5314,5438,173,89,84,32,15,17,9687,4849,4838,1065,465,600
393,2021,71,2800,2818,12741,6090,6651,489,113,376,27,12,15,10481,5399,5082,2260,691,1569
394,2021,72,3362,3380,14871,7506,7365,288,143,145,133,62,71,12912,6650,6262,1959,856,1103
395,2021,73,3449,3467,15953,7962,7991,800,391,409,132,65,67,13854,7034,6820,2099,928,1171
396,2021,74,3201,3219,15586,7631,7955,5509,2644,2865,102,60,42,12523,6441,6082,3063,1190,1873
397,2021,75,3086,3104,15272,7484,7788,2526,1224,1302,11,3,8,12660,6375,6285,2612,1109,1503
398,2021,76,3391,3409,17454,8847,8607,2621,1285,1336,27,17,10,12957,6963,5994,4497,1884,2613
399,2021,77,3527,3545,17270,8585,8685,943,467,476,92,40,52,13898,7168,6730,3372,1417,1955
400,2021,78,2975,2993,14997,7506,7491,1124,569,555,30,16,14,12422,6374,6048,2575,1132,1443
401,2021,79,3047,3065,13707,6909,6798,169,80,89,93,54,39,11803,6087,5716,1904,822,1082
402,2021,80,3510,3528,13647,6805,6842,145,73,72,17,11,6,12216,6209,6007,1431,596,835
403,2021,81,3394,3412,13271,6599,6672,2483,1184,1299,93,42,51,11195,5692,5503,2076,907,1169
404,2021,82,3185,3203,14026,6996,7030,519,259,260,121,56,65,12011,6092,5919,2015,904,1111
405,2021,83,2804,2822,12547,6348,6199,1523,754,769,123,65,58,10489,5380,5109,2058,968,1090
406,2021,84,3708,3726,18332,9130,9202,767,375,392,87,49,38,15106,7725,7381,3226,1405,1821
407,2021,85,3114,3132,15688,7779,7909,3973,1893,2080,48,24,24,11902,6228,5674,3786,1551,2235
408,2021,86,3653,3671,18598,9128,9470,4719,2220,2499,134,74,60,13482,6984,6498,5116,2144,2972
409,2021,87,2790,2808,14636,7402,7234,2074,1033,1041,57,30,27,11015,5810,5205,3621,1592,2029
410,2021,88,3481,3499,18491,9256,9235,7899,3860,4039,21,11,10,13312,7152,6160,5179,2104,3075
411,2021,89,5906,5924,23689,11938,11751,1748,886,862,205,103,102,20712,10572,10140,2977,1366,1611
412,2021,90,4437,4455,20519,10519,10000,9153,4612,4541,252,130,122,14146,7816,6330,6373,2703,3670
413,2021,91,5385,5403,22367,11652,10715,2098,1081,1017,115,65,50,18052,9677,8375,4315,1975,2340
414,2021,92,4995,5013,20509,10573,9936,2476,1292,1184,108,56,52,16361,8672,7689,4148,1901,2247
415,2021,93,6989,7007,28638,15208,13430,3044,1591,1453,477,300,177,23569,12847,10722,5069,2361,2708
416,2021,94,5306,5324,21840,11428,10412,2011,1052,959,146,74,72,18192,9710,8482,3648,1718,1930
417,2021,95,11078,11096,44802,23620,21182,5432,2814,2618,596,304,292,35066,18965,16101,9736,4655,5081
418,2021,96,9964,9982,44269,23099,21170,4927,2565,2362,508,275,233,32093,17450,14643,12176,5649,6527
419,2021,97,7318,7336,28491,14397,14094,2222,1134,1088,331,184,147,24133,12329,11804,4358,2068,2290
420,2021,98,3975,3993,18311,9186,9125,4658,2282,2376,240,126,114,13832,7215,6617,4479,1971,2508
421,2021,99,4053,4071,18474,9223,9251,2959,1481,1478,193,94,99,13559,7117,6442,4915,2106,2809
422,2021,100,4372,4390,20279,10189,10090,2679,1301,1378,289,131,158,16661,8529,8132,3618,1660,1958
423,2021,101,3948,3966,16389,8532,7857,1342,664,678,180,101,79,12402,6837,5565,3987,1695,2292
424,2021,102,3372,3390,14725,7461,7264,7678,3865,3813,146,78,68,10573,5683,4890,4152,1778,2374
425,2021,103,3718,3736,16730,8523,8207,4252,2126,2126,150,72,78,12698,6721,5977,4032,1802,2230
426,2021,104,5922,5940,23399,11873,11526,3641,1810,1831,153,82,71,19087,9822,9265,4312,2051,2261
427,2021,105,4662,4680,17854,8556,9298,424,198,226,80,37,43,15658,7553,8105,2196,1003,1193
428,2021,106,5511,5529,19993,9856,10137,962,492,470,90,40,50,17255,8505,8750,2738,1351,1387
429,2021,107,4754,4772,18668,9537,9131,1397,735,662,324,174,150,14636,7714,6922,4032,1823,2209
430,2021,108,3467,3485,12827,6441,6386,1633,844,789,119,75,44,9751,4954,4797,3076,1487,1589
431,2021,109,8918,8936,35401,18565,16836,2139,1134,1005,308,164,144,29002,15559,13443,6399,3006,3393
432,2021,110,9915,9933,38951,20877,18074,2716,1421,1295,470,254,216,30096,16682,13414,8855,4195,4660
433,2021,111,6108,6126,26155,14013,12142,5535,2894,2641,790,391,399,18420,10545,7875,7735,3468,4267
434,2021,112,5895,5913,24492,12862,11630,1257,646,611,283,141,142,20596,11036,9560,3896,1826,2070
435,2021,113,5043,5061,21971,10627,11344,884,404,480,194,82,112,18744,9154,9590,3227,1473,1754
436,2021,114,4263,4281,17964,9497,8467,3104,1616,1488,368,203,165,13139,7313,5826,4825,2184,2641
437,2021,115,3956,3974,16330,8071,8259,2487,1169,1318,93,47,46,13609,6880,6729,2721,1191,1530
438,2021,116,3382,3400,15033,7519,7514,2013,969,1044,158,69,89,12301,6325,5976,2732,1194,1538
439,2021,117,3606,3624,16021,7961,8060,553,289,264,54,20,34,14179,7042,7137,1842,919,923
440,2021,118,4060,4078,18923,9624,9299,6987,3519,3468,89,44,45,12719,6966,5753,6204,2658,3546
441,2021,119,4974,4992,22201,11354,10847,1700,876,824,219,117,102,18769,9683,9086,3432,1671,1761
442,2021,120,5880,5898,25014,12896,12118,2221,1162,1059,246,128,118,19171,10262,8909,5843,2634,3209
443,2021,121,9004,9022,34937,17372,17565,3516,1762,1754,293,162,131,29103,14502,14601,5834,2870,2964
444,2021,122,10240,10258,49363,25670,23693,1782,916,866,197,103,94,36921,19661,17260,12442,6009,6433
445,2021,123,5857,5875,24791,12677,12114,1770,890,880,209,111,98,20302,10424,9878,4489,2253,2236
446,2021,124,4657,4675,20316,10220,10096,2611,1271,1340,145,74,71,16807,8694,8113,3509,1526,1983
447,2021,125,4904,4922,20700,10397,10303,3931,1958,1973,156,79,77,17597,8998,8599,3103,1399,1704
448,2021,126,4218,4236,18853,9442,9411,9210,4665,4545,46,19,27,14339,7548,6791,4514,1894,2620
449,2021,127,6643,6661,25783,13124,12659,1582,794,788,177,99,78,21382,11004,10378,4401,2120,2281
450,2021,128,9436,9454,36080,18409,17671,1219,630,589,232,121,111,30673,15599,15074,5407,2810,2597
451,2021,129,11311,11329,44678,23651,21027,3461,1814,1647,452,241,211,35632,19144,16488,9046,4507,4539
452,2021,130,6400,6418,25876,13601,12275,1717,900,817,203,96,107,20548,10934,9614,5328,2667,2661
453,2021,131,5194,5212,20666,10790,9876,1881,987,894,200,112,88,16611,8937,7674,4055,1853,2202
454,2021,132,6127,6145,26685,13836,12849,4387,2242,2145,314,175,139,21069,11200,9869,5616,2636,2980
455,2021,133,5693,5711,23888,12745,11143,2578,1343,1235,361,189,172,18524,10139,8385,5364,2606,2758
456,2021,134,5935,5953,25148,13034,12114,1783,904,879,161,81,80,20984,10997,9987,4164,2037,2127
457,2021,135,3747,3765,15030,7757,7273,1107,573,534,95,45,50,13113,6784,6329,1917,973,944
458,2021,136,4790,4808,19916,10335,9581,1023,504,519,50,29,21,17031,8894,8137,2885,1441,1444
459,2021,137,7446,7464,31390,16204,15186,5237,2678,2559,255,147,108,24033,12906,11127,7357,3298,4059
460,2021,138,4046,4064,16457,8418,8039,1389,708,681,113,55,58,14051,7322,6729,2406,1096,1310
461,2021,139,7842,7860,35527,18605,16922,11068,5675,5393,443,241,202,24065,13503,10562,11462,5102,6360
462,2021,140,10218,10236,45476,24182,21294,7231,3718,3513,670,351,319,32833,18377,14456,12643,5805,6838
463,2021,141,9694,9712,41214,21539,19675,4722,2442,2280,964,472,492,31936,17269,14667,9278,4270,5008
464,2021,142,4095,4113,17067,8821,8246,1341,663,678,109,55,54,14240,7535,6705,2827,1286,1541
465,2021,143,10150,10168,40938,21214,19724,2561,1305,1256,435,213,222,34601,18189,16412,6337,3025,3312
466,2021,144,6289,6307,26762,14135,12627,2619,1342,1277,375,197,178,21025,11436,9589,5737,2699,3038
